latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,
22.375,87.25,54,0,GMT,GMT,,,,,,
,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),wind_speed_10m (km/h),temperature_80m (°C),cloud_cover (%),cloud_cover_mid (%),cloud_cover_low (%),cloud_cover_high (%),rain (mm),soil_temperature_18cm (°C)
2024-01-01T00:00,14.2,88,NaN,3.6,19.3,0,0,0,0,0,19.3
2024-01-01T01:00,15.1,85,NaN,3.6,19.3,0,0,0,0,0,19.1
2024-01-01T02:00,16.7,80,NaN,3.9,19.4,0,0,0,0,0,18.8
2024-01-01T03:00,18.6,74,NaN,4.3,19.9,0,0,0,0,0,18.7
2024-01-01T04:00,21.1,66,NaN,4.5,21,0,0,0,0,0,18.9
2024-01-01T05:00,23.9,57,NaN,4.7,22.5,0,0,0,0,0,19.2
2024-01-01T06:00,25.9,50,NaN,4.7,23.6,0,0,0,0,0,19.5
2024-01-01T07:00,26.9,46,NaN,3.8,24.4,8,0,8,0,0,20
2024-01-01T08:00,27.3,43,NaN,2.9,25,16,0,16,0,0,20.5
2024-01-01T09:00,27.2,43,NaN,2.3,25.3,24,0,24,0,0,21
2024-01-01T10:00,26.6,46,NaN,1.1,25.5,16,0,16,0,0,21.4
2024-01-01T11:00,22.7,60,NaN,5.2,21.9,23,0,23,0,0,21.5
2024-01-01T12:00,21.7,72,NaN,2.7,22.2,6,0,6,0,0,21.6
2024-01-01T13:00,20.4,77,NaN,3.3,21.4,0,0,0,0,0,21.6
2024-01-01T14:00,19.3,81,NaN,3.6,20.6,0,0,0,0,0,21.5
2024-01-01T15:00,18.4,83,NaN,3.6,19.7,0,0,0,0,0,21.3
2024-01-01T16:00,17.6,85,NaN,3.6,18.7,0,0,0,0,0,21.1
2024-01-01T17:00,16.9,87,NaN,3.7,17.9,0,0,0,0,0,20.9
2024-01-01T18:00,16.3,89,NaN,3.2,17,0,0,0,0,0,20.6
2024-01-01T19:00,15.8,90,NaN,3.1,16.5,0,0,0,0,0,20.4
2024-01-01T20:00,15.3,90,NaN,3.7,16.1,0,0,0,0,0,20.1
2024-01-01T21:00,14.9,89,NaN,4,15.6,0,0,0,0,0,19.9
2024-01-01T22:00,14.6,89,NaN,4.3,15.2,0,0,0,0,0,19.6
2024-01-01T23:00,14.2,89,NaN,4,14.8,0,0,0,0,0,19.4
2024-01-02T00:00,14.1,87,NaN,3.6,14.8,0,0,0,0,0,19.2
2024-01-02T01:00,13.8,87,NaN,4,14.6,0,0,0,0,0,18.9
2024-01-02T02:00,14.6,83,NaN,4.4,14.4,0,0,0,0,0,18.7
2024-01-02T03:00,16.4,74,NaN,5.8,14.9,0,0,0,0,0,18.6
2024-01-02T04:00,18.5,66,NaN,5.8,16.6,0,0,0,0,0,18.6
2024-01-02T05:00,20.4,59,NaN,7.2,18.2,0,0,0,0,0,18.9
2024-01-02T06:00,21.1,56,NaN,5.2,18.8,0,0,0,0,0,19.1
2024-01-02T07:00,22.4,54,NaN,5.2,20,0,0,0,0,0,19.5
2024-01-02T08:00,23.3,51,NaN,5.9,21.1,0,0,0,0,0,20
2024-01-02T09:00,23.7,49,NaN,6.9,21.7,0,0,0,0,0,20.5
2024-01-02T10:00,23.3,50,NaN,7.2,21.9,9,0,9,0,0,20.9
2024-01-02T11:00,22.3,53,NaN,6.5,21.5,5,0,5,0,0,21.1
2024-01-02T12:00,21.5,61,NaN,3.8,22.1,4,0,4,0,0,21.4
2024-01-02T13:00,20,65,NaN,4.1,21.1,0,0,0,0,0,21.4
2024-01-02T14:00,18.9,67,NaN,4.1,20.2,0,0,0,0,0,21.3
2024-01-02T15:00,17.9,70,NaN,4.3,19.1,0,0,0,0,0,21.1
2024-01-02T16:00,16.9,74,NaN,4.3,17.9,0,0,0,0,0,20.9
2024-01-02T17:00,16.1,80,NaN,4.3,16.9,0,0,0,0,0,20.6
2024-01-02T18:00,15,86,NaN,3.6,15.9,0,0,0,0,0,20.3
2024-01-02T19:00,14.5,89,NaN,3.4,15.5,0,0,0,0,0,20.1
